SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
"ABT147","27","2023","7/11/2023 8:00:00 AM","0.042","0.032","0.759","0.295","0.129","0.022","0.055","0.279","0.088","0.258","0.098","0.915","0.834","7/04/2023"
"ABT147","28","2023","7/18/2023 8:00:00 AM","0.114","0.033","0.74","0.287","0.091","0.056","0.302","0.268","0.332","0.316","0.121","1.273","1.06","7/11/2023"
"ABT147","29","2023","7/25/2023 8:00:00 AM","0.062","0.033","0.648","0.251","0.074","0.02","0.07","0.276","0.128","0.294","0.112","0.705","0.766","7/18/2023"
"ABT147","30","2023","8/01/2023 8:00:00 AM","0.064","0.033","0.598","0.232","0.069","0.022","0.096","0.304","0.196","0.333","0.127","0.841","0.784","7/25/2023"
"ABT147","31","2023","8/08/2023 8:00:00 AM","0.059","0.176","0.348","0.135","0.065","0.033","0.208","0.366","0.382","0.331","0.126","0.596","0.724","8/01/2023"
"ABT147","32","2023","8/15/2023 8:00:00 AM","0.064","0.033","0.366","0.142","0.062","0.017","0.058","0.309","0.222","0.269","0.103","0.672","0.582","8/08/2023"
"ABT147","33","2023","8/22/2023 8:00:00 AM","0.054","0.034","0.422","0.164","0.059","0.015","0.031","0.266","0.105","0.293","0.112","0.596","0.52","8/15/2023"
"ABT147","34","2023","8/29/2023 8:00:00 AM","0.041","0.034","0.25","0.097","0.043","0.019","0.113","0.116","0.189","0.161","0.061","0.418","0.434","8/22/2023"
"ABT147","35","2023","9/05/2023 8:00:00 AM","0.175","0.034","0.467","0.181","0.051","0.035","0.096","0.282","0.457","0.316","0.121","0.725","0.917","8/29/2023"
"ABT147","36","2023","9/12/2023 8:00:00 AM","0.24","0.033","0.649","0.252","0.071","0.046","0.109","0.425","0.323","0.265","0.101","1.515","0.962","9/05/2023"
"ABT147","37","2023","9/19/2023 8:00:00 AM","0.05","0.033","0.227","0.088","0.043","0.011","0.029","0.138","0.143","0.265","0.101","0.337","0.366","9/12/2023"
"ABT147","38","2023","9/26/2023 8:00:00 AM","0.061","0.487","0.185","0.072","0.048","0.04","0.296","0.169","0.249","0.245","0.094","0.373","0.431","9/19/2023"
"ABT147","39","2023","10/03/2023 8:00:00 AM","0.118","0.042","0.324","0.126","0.096","0.034","0.154","0.291","0.388","0.248","0.095","0.57","0.707","9/26/2023"
"ABT147","40","2023","10/10/2023 8:00:00 AM","0.162","0.232","0.323","0.125","0.058","0.053","0.285","0.164","0.423","0.223","0.085","0.747","0.741","10/03/2023"
"ABT147","41","2023","10/17/2023 8:00:00 AM","0.173","0.033","0.463","0.18","0.041","0.031","0.041","0.2","0.384","0.217","0.083","0.44","0.84","10/10/2023"
"ABT147","42","2023","10/24/2023 8:00:00 AM","0.033","0.086","0.151","0.059","0.027","0.015","0.12","0.062","0.202","0.182","0.069","0.221","0.351","10/17/2023"
"ABT147","43","2023","10/31/2023 8:00:00 AM","0.146","0.034","1.158","0.449","0.049","0.035","0.147","0.173","0.615","0.435","0.166","0.532","1.755","10/24/2023"
"ABT147","44","2023","11/07/2023 8:00:00 AM","0.123","0.271","0.877","0.34","0.055","0.044","0.232","0.465","0.963","0.437","0.167","0.781","1.827","10/31/2023"
"ABT147","45","2023","11/14/2023 8:00:00 AM","0.108","0.036","0.419","0.163","0.046","0.029","0.094","0.275","0.593","0.228","0.087","0.585","1.005","11/07/2023"
"ABT147","46","2023","11/21/2023 8:00:00 AM","0.178","0.069","0.751","0.291","0.045","0.042","0.184","0.189","0.862","0.322","0.123","0.493","1.602","11/14/2023"
"ABT147","47","2023","11/28/2023 8:00:00 AM","0.074","0.108","0.271","0.105","0.03","0.026","0.147","0.138","0.368","0.278","0.106","0.442","0.635","11/21/2023"
"ABT147","48","2023","12/05/2023 8:00:00 AM","0.094","0.074","0.515","0.2","0.045","0.026","0.113","0.516","1.539","0.389","0.148","0.532","2.045","11/28/2023"
"ABT147","49","2023","12/12/2023 8:00:00 AM","0.054","0.101","0.397","0.154","0.043","0.024","0.189","0.319","0.881","0.266","0.102","0.6","1.272","12/05/2023"
"ABT147","50","2023","12/19/2023 8:00:00 AM","0.138","0.398","0.596","0.231","0.062","0.057","0.374","0.142","0.89","0.235","0.09","0.45","1.476","12/12/2023"
"ABT147","51","2023","12/26/2023 8:00:00 AM","0.138","0.399","0.597","0.232","0.062","0.057","0.375","0.141","0.89","0.235","0.09","0.449","1.477","12/19/2023"
"ABT147","52","2023","1/02/2024 8:00:00 AM","0.025","0.042","0.252","0.098","0.037","0.007","0.018","0.119","0.284","0.258","0.098","0.204","0.532","12/26/2023"
"ACA416","27","2023","7/11/2023 8:00:00 AM","0.015","0.029","0.271","0.105","0.057","0.011","0.044","0.172","0.052","0.155","0.059","0.494","0.318","7/04/2023"
"ACA416","28","2023","7/18/2023 8:00:00 AM","0.07","0.049","0.474","0.184","0.048","0.035","0.206","0.233","0.17","0.266","0.102","1.008","0.636","7/11/2023"
"ACA416","29","2023","7/25/2023 8:00:00 AM","0.046","0.033","0.354","0.137","0.047","0.014","0.075","0.229","0.093","0.261","0.1","0.621","0.441","7/18/2023"
